ime,delodajalec,opis,kategorija,regija
Poslovni tajnik ,NLB d.d.,Ste pripravljeni na spremembo? Iščemo Poslovnega tajnika z iznajdljivim duhom  neustavljivo energijo in dobrim znanjem angleškega jezika! Skrbeli boste za natančno pripravo zapisnikov  uspešno koordinacijo in organizacijo sej odborov ter vestno vodenje evidenc delovnega časa. ,bancnistvo-finance,osrednjeslovenska
Strokovni sodelavec v podpori kreditnega poslovanja ,Gorenjska banka d.d. Kranj,Vaše glavne odgovornosti na tem delovnem mestu bodo: operativna pomoč svetovalcem vezano na proces trženja  odobravanja  sklepanja in spremljave vseh komercialnih poslov..,bancnistvo-finance,osrednjeslovenska
Strokovni sodelavec v kontaktnem centru ,DELAVSKA HRANILNICA d.d. LJUBLJANA,V svoje vrste vabimo:STROKOVNEGA SODELAVCA V KONTAKTNEM CENTRU (M/Ž),bancnistvo-finance,osrednjeslovenska
Višji strokovni sodelavec na področju preprečevanja pranja denarja in financiranja terorizma ,BKS Bank AG  Bančna podruž,Vaše glavne delovne naloge in odgovornosti bodo: vzpostavitev politik  kontrol in postopkov za učinkovito obvladovanje tveganj na področju PPDFT  vzpostavitev  delovanje  razvoj in izboljšave sistema odkrivanja in preprečevanja pranja denarja in financiranja terorizma v bančni podružnici in povezanih družbah  pravilno in pravočasno sporočanje predpisanih in zahtevanih podatkov organu...,bancnistvo-finance,osrednjeslovenska
Samostojni strokovni delavec VII/1 (J017100) v Finančno računovodski službi,Univerza v Ljubljani  Fakulteta za gradbeništvo in geodezij,Opis dela in nalog: samostojno načrtuje in opravlja strokovna dela na svojem delovnem področju  samostojno izvaja operativne naloge delovnega področja  administrativno vodenje dela  informacijsko svetovalno delo  priprava in zbiranje podatkov ,bancnistvo-finance,osrednjeslovenska
Računovodja ,FEYDOM HOME d.o.o.,Zaposlimo novega člana oz. članico ekipe na delovnem mestu RAČUNOVODJA.,bancnistvo-finance,osrednjeslovenska
Višji referent priprave  v sektorju Plačilni promet in elektronske poti /Mednarodni plačilni sistemi,SKB banka d.d. Ljublj,K sodelovanju vabimoVišjega referenta priprave (m/ž) v sektorju Plačilni promet in elektronske poti /Mednarodni plačilni sistemiki bo zadolžen zagotavljanje popolnosti in pravilnosti dokumentacije pred sklenitvijo pogodbe in v poprodajnem procesu  izterjave neplačnikov.,bancnistvo-finance,osrednjeslovenska
Namestnik vodje računovodstva ,Toyota Tsusho Leasing Slovenija d.o.o.,Glavne delovne naloge bodo obsegale: sodelovanje pri načrtovanju in koordiniranju dela zaposlenih ter izvajanje politike podjetja na konkretnem področju delovanja in načrtovanje  obvladovanje in spremljanje denarnih tokov ter izvajanje finančnega poslovanja in evidentiranja porabe finančnih sredstev;,bancnistvo-finance,osrednjeslovenska
Knjigovodja ,Toyota Tsusho Leasing Slovenija d.o.o.,Glavne delovne naloge bodo obsegale: izvajanje knjigovodskih opravil ob upoštevanju veljavnih zakonov in predpisov ter knjiženje poslovnih dogodkov  izvajanje administrativnih opravil  sodelovanje in podpora ostalim oddelkom.,bancnistvo-finance,osrednjeslovenska
Skrbnik podjetnikov  v Poslovni mreži (Poslovalnici Kamnik in Trzin),SKB banka d.d. Ljublj,Opis del in nalog: pridobivanje novih strank  oblikovanje dolgoročnih poslovnih odnosov z obstoječimi strankami ter povečanje prodaje bančnih produktov in storitev..,bancnistvo-finance,osrednjeslovenska
